NC LIVE resource usage report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Vendor,20-Jan,20-Jan,20-Jan,20-Jan,20-Feb,20-Feb,20-Feb,20-Feb,20-Mar,20-Mar,20-Mar,20-Mar,20-Apr,20-Apr,20-Apr,20-Apr,20-May,20-May,20-May,20-May,20-Jun,20-Jun,20-Jun,20-Jun,20-Jul,20-Jul,20-Jul,20-Jul,20-Aug,20-Aug,20-Aug,20-Aug,20-Sep,20-Sep,20-Sep,20-Sep,20-Oct,20-Oct,20-Oct,20-Oct,20-Nov,20-Nov,20-Nov,20-Nov,20-Dec,20-Dec,20-Dec,20-Dec,21-Jan,21-Jan,21-Jan,21-Jan,Totals,Totals,Totals,Totals
Source,Vendor,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews
Materials Science Database,ProQuest Company,0,562,1,1,0,"2,187",11,15,0,"1,711",4,7,0,"1,555",2,2,0,327,1,1,0,458,2,2,0,377,10,10,0,277,0,0,0,824,1,1,0,"1,532",3,3,0,"1,634",2,2,0,399,0,0,0,181,0,0,0,"12,024",37,44
Middle East & Africa Database,ProQuest Company,0,562,0,0,0,"2,187",0,0,0,"1,711",2,2,0,"1,555",7,7,0,331,1,1,0,458,5,6,0,377,0,0,0,277,1,1,0,824,0,0,0,"1,532",2,3,0,"1,634",1,1,0,399,1,1,0,181,0,0,0,"12,028",20,22
Military Database,ProQuest Company,0,562,19,21,0,"2,187",92,99,0,"1,711",107,115,0,"1,555",72,81,0,328,14,17,0,458,26,35,0,377,25,27,0,278,16,16,0,824,39,51,0,"1,532",69,82,0,"1,634",55,60,0,399,23,27,0,181,11,13,0,"12,026",568,644
Morningstar Investment Research Center,Morningstar,0,0,0,0,0,0,0,0,3,0,9,9,3,0,12,12,1,0,3,3,0,0,0,0,1,0,4,4,1,0,1,1,14,0,196,196,2,0,6,6,2,0,15,15,11,0,98,98,0,0,0,0,38,0,344,344
New York Times,ProQuest Company,0,566,18,20,0,"2,188",72,78,0,"1,713",32,37,0,"1,555",47,49,0,327,5,6,0,462,24,29,0,377,14,15,0,277,1,1,0,824,34,36,0,"1,542",35,42,0,"1,658",58,60,0,401,21,21,0,184,28,28,0,"12,074",389,422
North American Women's Letters and Diaries,Alexander Street Press,0,0,0,0,2,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
NoveList Plus,EBSCOhost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1
Nursing & Allied Health Database,ProQuest Company,0,591,34,36,0,"2,288",85,93,0,"1,926",418,457,0,"1,679",237,252,0,366,40,63,0,508,69,80,0,422,79,84,0,285,48,49,0,891,78,88,0,"1,632",129,149,0,"1,896",269,303,0,461,73,90,0,196,4,9,0,"13,141","1,563","1,753"
Political Science Database,ProQuest Company,0,568,32,39,0,"2,199",49,52,0,"1,711",41,42,0,"1,555",48,52,0,327,6,8,0,458,9,10,0,377,3,3,0,278,3,3,0,824,20,22,0,"1,534",29,37,0,"1,639",35,38,0,399,16,16,0,189,7,8,0,"12,058",298,330
ProQuest Central,ProQuest Company,0,565,0,0,0,"2,198",0,0,0,"1,711",0,0,0,"1,557",0,0,0,328,0,0,0,459,0,0,0,382,0,0,0,279,0,0,0,827,0,0,0,"1,537",0,0,0,"1,639",0,0,0,400,0,0,0,187,0,0,0,"12,069",0,0
ProQuest Research Library,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProQuest unique searches,ProQuest Company,0,848,0,0,0,"3,030",0,0,0,"2,353",0,0,0,"1,984",0,0,0,476,0,0,0,662,0,0,0,512,0,0,0,305,0,0,0,"1,208",0,0,0,"2,341",0,0,0,"2,393",0,0,0,704,0,0,0,277,0,0,0,"17,093",0,0
